component_id,component_name,component_class,parent_domain,manager_function_id,sensor_inputs,effector_outputs,loop_role,interface_anchor_ids,boundary_scope,status,notes
CMP-001,Flight Control Computer,compute_controller,AVIATE,AVI.STAB.102,air_data|imu|control_surface_feedback,control_surface_commands,primary_controller,IF-006|IF-017|IF-041,internal,defined,Core flight-control closed-loop manager.
CMP-002,Air Data and Inertial Sensor Suite,sensor_aggregate,AVIATE,AVI.STAB.101,pitot|static|imu_measurements,state_vector_output,sensor_provider,IF-013|IF-044,internal,defined,Feeds control and guidance loops.
CMP-003,Primary Flight Control Actuation,effectors_aggregate,AVIATE,AVI.STAB.103,commanded_surface_position,control_surface_motion,effector_sink,IF-017|IF-041,internal,defined,Receives commands and returns actuator state.
CMP-004,Engine Controller,compute_controller,AVIATE,AVI.PROP.105,engine_sensor_bus,thrust_and_engine_commands,specialized_manager,IF-041|IF-042|IF-054,internal,defined,Specialized propulsion manager under propulsion family.
CMP-005,Propeller Controller,compute_controller,AVIATE,AVI.PROP.102,propeller_state_sensors,pitch_and_speed_commands,specialized_manager,IF-041|IF-054,internal,defined,Optional specialization for propeller authority and monitoring.
CMP-006,Vehicle Management Computer,compute_controller,AVIATE,AVI.VSYS.001,electrical_state|hydraulic_state|ecbus_events,load_shed_and_reconfiguration_commands,supervisory_manager,IF-018|IF-019,internal,in_progress,Requires additional L2 function refinement in future wave.
CMP-007,Generator Controllers,effectors_aggregate,AVIATE,AVI.ELEC.103,generator_feedback,breaker_and_bus_commands,effector_sink,IF-018,internal,defined,Electrical loop actuator endpoint.
CMP-008,Hydraulic Sensing Network,sensor_aggregate,AVIATE,AVI.HYDR.104,pressure_temp_flow_sensors,hydraulic_state_vector,sensor_provider,IF-019,internal,defined,Hydraulic loop sensing endpoint.
CMP-009,Hydraulic Control Network,effectors_aggregate,AVIATE,AVI.HYDR.103,valve_feedback,servo_and_valve_commands,effector_sink,IF-019,internal,defined,Hydraulic control effectors for flight and ground systems.
CMP-010,Mission Computer Cluster,compute_controller,OPERATE,OPS.MSN.001,mission_and_fusion_inputs,tasking_and_product_commands,primary_controller,IF-029|IF-030|IF-053,internal,defined,Mission-loop manager with product and dispatch coupling.
CMP-011,Mission Sensor Suite,sensor_aggregate,OPERATE,OPS.SOPS.105,eo_ir_rf_payload_inputs,sensor_observation_set,sensor_provider,IF-027|IF-029,internal,defined,Mission sensor producer chain.
CMP-012,Mission Effectors and Payload Actions,effectors_aggregate,OPERATE,OPS.MSN.104,tasking_commands,payload_effect_commands,effector_sink,IF-030|IF-032,internal,defined,Mission actuation side of loop.
CMP-013,Radio Transceiver Stack,sensor_effector_dual,COMMUNICATE,COM.AGND.001,rf_receive_state,rf_transmit_commands,dual_sensor_effector,IF-009|IF-023|IF-045|IF-046,external_crossing,defined,Radios modeled as dual-role sensor and effector component.
CMP-014,Onboard Maintenance Data Concentrator,compute_controller,OPERATE,OPS.MAINT.001,health_and_fault_streams,maintenance_uplink_packages,supervisory_manager,IF-049|IF-050|IF-051|IF-052,cross_boundary,defined,Bridges onboard loops to offboard maintenance system.
CMP-015,Offboard Maintenance Management System,external_system,OPERATE,OPS.OMMS.001,maintenance_uplink_packages,directive_and_dispatch_outputs,external_manager,IF-051|IF-052|IF-053,external,defined,External but modeled as part of end-to-end architecture.
