manifest_row_id,artifact_id,canonical_folder,status,category,source_url,retrieval_timestamp_utc,capture_method,raw_path,extracted_path,threat_or_control_summary,confidence,linked_source_copy,traceability_link,gate_readiness,hash_or_integrity_note,provenance_note
M-001,SC-001,conference_inputs,canonical,conference,https://www.blackhat.com/us-23/briefings/schedule/index.html#lessons-learned-from-the-ka-sat-cyberattack-response-mitigation-and--information-sharing-34478,2026-05-24,fetch_webpage,raw/SC-001.md,extracted/SC-001_extracted.md,Satellite incident response and resilience pattern extraction,high,raw/SC-001.md,taxonomy/coverage_gaps/missing_topics_for_aerospace_threat_modeling.md,gate_0_input_integrity|gate_1_normalization_review|gate_4_threat_plausibility|gate_7_export_consistency,not_computed,Direct schedule abstract capture
M-002,SC-002,conference_inputs,canonical,conference,https://i.blackhat.com/USA-22/Wednesday/US-22-Wouters-Glitched-On-Earth.pdf,2026-05-24,fetch_webpage,raw/SC-002.md,extracted/SC-002_extracted.md,Ground-segment security signal from fallback abstract,medium,raw/SC-002.md,taxonomy/coverage_gaps/missing_topics_for_aerospace_threat_modeling.md,gate_0_input_integrity|gate_1_normalization_review|gate_4_threat_plausibility|gate_7_export_consistency,not_computed,Primary PDF blocked; Black Hat schedule fallback
M-003,SC-003,conference_inputs,canonical,conference,https://i.blackhat.com/BH-US-23/Presentations/US-23-Tokarev-Code16-16-zero-day-vulnerabilities.pdf,2026-05-24,fetch_webpage,raw/SC-003.md,extracted/SC-003_extracted.md,Automotive/embedded wireless vulnerability cluster signal,medium,raw/SC-003.md,taxonomy/coverage_gaps/missing_topics_for_aerospace_threat_modeling.md,gate_0_input_integrity|gate_1_normalization_review|gate_4_threat_plausibility|gate_7_export_consistency,not_computed,Primary PDF blocked; Black Hat schedule fallback
M-004,SC-004,conference_inputs,canonical,conference,https://defcon.org/html/defcon-32/dc-32-speakers.html,2026-05-24,manual_seed,raw/SC-004.md,extracted/SC-004_extracted.md,Conference discovery index pending targeted extraction,low,raw/SC-004.md,taxonomy/coverage_gaps/missing_topics_for_aerospace_threat_modeling.md,gate_0_input_integrity|gate_1_normalization_review|gate_7_export_consistency,not_computed,Placeholder curation artifact pending direct extraction
M-005,SC-005,Protocol Specifications,canonical,standards,https://datatracker.ietf.org/doc/html/rfc8446,2026-05-24,fetch_webpage,raw/SC-005.md,extracted/SC-005_extracted.md,TLS 1.3 key schedule and replay-safety constraints,high,raw/SC-005.md,Protocol Specifications/aerospace_interface_network_and_bus_standards.md,gate_0_input_integrity|gate_1_normalization_review|gate_2_boundary_approval|gate_3_stride_calibration|gate_7_export_consistency,not_computed,Datatracker replaced with rfc-editor mirror
M-006,SC-006,Protocol Specifications,canonical,standards,https://datatracker.ietf.org/doc/html/rfc9147,2026-05-24,fetch_webpage,raw/SC-006.md,extracted/SC-006_extracted.md,DTLS anti-replay and datagram-state complexity,high,raw/SC-006.md,Protocol Specifications/aerospace_interface_network_and_bus_standards.md,gate_0_input_integrity|gate_1_normalization_review|gate_2_boundary_approval|gate_3_stride_calibration|gate_7_export_consistency,not_computed,Datatracker blocked; rfc-editor mirror used
M-007,SC-007,Protocol Specifications,canonical,standards,https://en.wikipedia.org/wiki/ARINC_429,2026-05-24,fetch_webpage,raw/SC-007.md,extracted/SC-007_extracted.md,ARINC 429 topology and integrity risk baseline,medium,raw/SC-007.md,Protocol Specifications/aerospace_interface_network_and_bus_standards.md,gate_0_input_integrity|gate_1_normalization_review|gate_2_boundary_approval|gate_3_stride_calibration|gate_7_export_consistency,not_computed,Interim reference summary source
M-008,SC-008,Protocol Specifications,canonical,standards,https://en.wikipedia.org/wiki/MIL-STD-1553,2026-05-24,fetch_webpage,raw/SC-008.md,extracted/SC-008_extracted.md,MIL-STD-1553 role concentration and spoofing risk baseline,medium,raw/SC-008.md,Protocol Specifications/aerospace_interface_network_and_bus_standards.md,gate_0_input_integrity|gate_1_normalization_review|gate_2_boundary_approval|gate_3_stride_calibration|gate_7_export_consistency,not_computed,Interim reference summary source
M-009,SC-009,standards_information,canonical,assurance,https://en.wikipedia.org/wiki/ARINC_653,2026-05-24,fetch_webpage,raw/SC-009.md,extracted/SC-009_extracted.md,Partitioning timing and isolation threat baseline,medium,raw/SC-009.md,standards_information/partitioning_assurance/arinc_653_and_separation_kernel_partitioning.md,gate_0_input_integrity|gate_1_normalization_review|gate_2_boundary_approval|gate_3_stride_calibration|gate_5_mitigation_adequacy|gate_7_export_consistency,not_computed,Interim reference summary source
M-010,SC-010,standards_information,canonical,assurance,https://en.wikipedia.org/wiki/Separation_kernel,2026-05-24,fetch_webpage,raw/SC-010.md,extracted/SC-010_extracted.md,Separation-kernel mediation and bypass risk baseline,medium,raw/SC-010.md,standards_information/partitioning_assurance/arinc_653_and_separation_kernel_partitioning.md,gate_0_input_integrity|gate_1_normalization_review|gate_2_boundary_approval|gate_3_stride_calibration|gate_5_mitigation_adequacy|gate_7_export_consistency,not_computed,Interim reference summary source
M-011,SC-011,Aerospace CTI/advisories,canonical,cti,https://www.nist.gov/publications/guide-industrial-control-systems-ics-security,2026-05-24,fetch_webpage,raw/SC-011.md,extracted/SC-011_extracted.md,ICS safety/reliability-aware security guidance for operations and maintenance controls,medium-high,raw/SC-011.md,Aerospace CTI/advisories/aviation_and_ics_advisory_digest.md,gate_0_input_integrity|gate_1_normalization_review|gate_4_threat_plausibility|gate_5_mitigation_adequacy|gate_7_export_consistency,not_computed,NIST publication metadata and abstract capture
M-012,SC-012,Aerospace CTI/advisories,canonical,cti,https://www.easa.europa.eu/en/faq/46472,2026-05-24,fetch_webpage,raw/SC-012.md,extracted/SC-012_extracted.md,EASA risk framing for exposed/non-isolated aviation structures,medium,raw/SC-012.md,Aerospace CTI/advisories/aviation_and_ics_advisory_digest.md,gate_0_input_integrity|gate_1_normalization_review|gate_4_threat_plausibility|gate_7_export_consistency,not_computed,FAQ-level regulator guidance
M-013,SC-013,Aerospace CTI/advisories,canonical,cti,https://www.easa.europa.eu/en/faq/46473,2026-05-24,fetch_webpage,raw/SC-013.md,extracted/SC-013_extracted.md,EASA role in integrating cybersecurity with civil aviation safety,medium,raw/SC-013.md,Aerospace CTI/advisories/aviation_and_ics_advisory_digest.md,gate_0_input_integrity|gate_1_normalization_review|gate_4_threat_plausibility|gate_7_export_consistency,not_computed,FAQ-level regulator guidance
M-014,SC-014,Aerospace CTI/advisories,canonical,cti,https://attack.mitre.org/versions/v14/matrices/ics/,2026-05-24,fetch_webpage,raw/SC-014.md,extracted/SC-014_extracted.md,ATT&CK ICS techniques for maintenance and update-chain abuse mapping,high,raw/SC-014.md,Aerospace CTI/advisories/maintenance_and_update_chain_threats.md,gate_0_input_integrity|gate_1_normalization_review|gate_4_threat_plausibility|gate_5_mitigation_adequacy|gate_7_export_consistency,not_computed,Matrix-level behavior mapping capture
M-015,SC-015,Aerospace CTI/advisories,canonical,cti,https://raw.githubusercontent.com/cisagov/kev-data/develop/README.md,2026-05-24,fetch_webpage,raw/SC-015.md,extracted/SC-015_extracted.md,CISA KEV machine-consumable dataset and schema governance for vulnerability prioritization,medium-high,raw/SC-015.md,Aerospace CTI/advisories/aviation_and_ics_advisory_digest.md,gate_0_input_integrity|gate_1_normalization_review|gate_4_threat_plausibility|gate_5_mitigation_adequacy|gate_7_export_consistency,not_computed,Alternate authoritative CISA source via official cisagov KEV mirror
M-016,SC-016,Aerospace CTI/advisories,canonical,cti,https://www.faa.gov/air_traffic/technology/cinp,2026-05-24,fetch_webpage,raw/SC-016.md,extracted/SC-016_extracted.md,FAA NAS secure communications and data-exchange program context for control-plane threat modeling,medium,raw/SC-016.md,Aerospace CTI/advisories/aviation_and_ics_advisory_digest.md,gate_0_input_integrity|gate_1_normalization_review|gate_4_threat_plausibility|gate_5_mitigation_adequacy|gate_7_export_consistency,not_computed,Alternate authoritative FAA source with supporting SWIM and DataComm pages
M-017,SC-017,Aerospace CTI/advisories,canonical,cti,https://www.a-isac.com/,2026-05-24,fetch_webpage,raw/SC-017.md,extracted/SC-017_extracted.md,Aviation ISAC public-sector collaboration and threat-sharing baseline for aviation attack-surface plausibility,medium,raw/SC-017.md,Aerospace CTI/advisories/isac_public_sector_signal_digest.md,gate_0_input_integrity|gate_1_normalization_review|gate_4_threat_plausibility|gate_5_mitigation_adequacy|gate_7_export_consistency,not_computed,Public no-membership capture with explicit membership-gated caveat
M-018,SC-018,Aerospace CTI/advisories,canonical,cti,https://spaceisac.org/newsroom/,2026-05-24,fetch_webpage,raw/SC-018.md,extracted/SC-018_extracted.md,Space ISAC public mission and newsroom signals for space threat-surface and resilience mapping,medium,raw/SC-018.md,Aerospace CTI/advisories/isac_public_sector_signal_digest.md,gate_0_input_integrity|gate_1_normalization_review|gate_4_threat_plausibility|gate_5_mitigation_adequacy|gate_7_export_consistency,not_computed,Public no-membership capture with member-stream fidelity caveat
M-019,SC-019,Aerospace CTI/advisories,canonical,cti,https://www.eurocontrol.int/cybersecurity,2026-05-24,fetch_webpage,raw/SC-019.md,extracted/SC-019_extracted.md,EUROCONTROL aviation cybersecurity coordination and EATM-CERT signals for operational threat and mitigation realism,medium-high,raw/SC-019.md,Aerospace CTI/advisories/isac_public_sector_signal_digest.md,gate_0_input_integrity|gate_1_normalization_review|gate_4_threat_plausibility|gate_5_mitigation_adequacy|gate_7_export_consistency,not_computed,Authoritative public aviation cybersecurity program source
