inference_id,entry_id,entry_type,l3_inferred_function,l3_confidence,l2_function_id,l2_function_name,l1_function_id,l1_function_name,l0_domain,l4_component_candidate,l4_component_confidence,l5_implementation_anchor,l5_anchor_type,flow_required,flow_interface_id,endpoint_source,endpoint_sink,l2_child_count_in_l1,l1_child_count_in_l0,abstraction_check,inference_status,notes
INF-001,FM-001,failure_mode,Thrust command authority arbitration,medium,AVI.PROP.101,Thrust Command Management,AVI.PROP.001,Propulsion,AVIATE,FADEC control path,medium,FADEC command-channel logic,software,yes,,propulsion_command_source,propulsion_effector_sink,5,8,pass,pending,Seed row for bottom-up mapping pilot
INF-002,HZ-002,hazard,Terrain conflict recognition and response trigger,medium,NAV.GUID.103,Publish Guidance Targets,NAV.GUID.001,Guidance and Trajectory Management,NAVIGATE,Navigation compute stack,low,Guidance-target generation service,software,yes,,terrain_data_source,flight_guidance_sink,4,4,pass,pending,Seed row for CFIT-chain decomposition
INF-003,FM-018,failure_mode,Channel occupancy detection and inhibit release,medium,COM.AGND.103,Communication Availability and Fallback Management,COM.AGND.001,Air-Ground Operational Communications,COMMUNICATE,Audio radio control unit,medium,Radio session watchdog logic,software,yes,,radio_rx_state_source,crew_audio_path_sink,5,3,pass,pending,Seed row for comm blockage chain
INF-004,HZ-065,hazard,Ground movement interlock enforcement,medium,OPS.COMS.102,Turnaround and Readiness Synchronization,OPS.COMS.001,Commercial and Service Coordination,OPERATE,Ground interlock sensor set,low,Ground readiness rules engine,software,yes,,ground_state_source,movement_authorization_sink,4,10,pass,pending,Seed row for ground proximity hazard chain
"INF-005","FM-004","failure_mode","Route contingency recompute on integrity degradation","medium","NAV.PLAN.102","Evaluate and Update Route Constraints","NAV.PLAN.001","Route Planning and Replanning","NAVIGATE","Navigation planning compute service","low","Constraint-replan evaluation logic","software","yes","IF-104","route_constraint_source","route_replan_sink","4","4","pass","pending","T3 expansion seed"
"INF-006","FM-004","failure_mode","Waypoint sequence validation under nav integrity alerts","medium","NAV.RTE.103","Publish Route and Waypoint Execution Guidance","NAV.RTE.001","Route and Waypoint Management","NAVIGATE","Route integrity manager","low","Waypoint integrity rule set","software","yes","IF-110","waypoint_integrity_source","guidance_publication_sink","4","4","pass","pending","T3 expansion seed"
"INF-007","FM-008","failure_mode","Mission coordination queue starvation detection","medium","COM.INTC.102","Prioritize and Route Internal Mission Messages","COM.INTC.001","Internal Coordination and Mission Communications","COMMUNICATE","Mission bus routing core","medium","Message-priority scheduler","software","yes","IF-100","mission_queue_source","mission_router_sink","4","3","pass","pending","T3 expansion seed"
"INF-008","FM-008","failure_mode","Coordination delivery fallback enforcement","medium","COM.INTC.104","Monitor and Reconcile Mission Coordination Status","COM.INTC.001","Internal Coordination and Mission Communications","COMMUNICATE","Coordination watchdog service","medium","Mission comm reconciliation logic","software","yes","IF-102","coordination_state_source","coordination_fallback_sink","4","3","pass","pending","T3 expansion seed"
"INF-009","FM-009","failure_mode","Sensor calibration execution drift containment","medium","OPS.SCAL.102","Execute Sensor Calibration Tasks","OPS.SCAL.001","Sensor Management and Calibration","OPERATE","Calibration execution service","low","Calibration task runner","software","yes","IF-115","calibration_task_source","calibration_executor_sink","4","10","pass","pending","T4 expansion seed"
"INF-010","FM-009","failure_mode","Fusion confidence degradation trip logic","medium","OPS.SFUS.103","Assess Fusion Confidence and Trigger Recovery Paths","OPS.SFUS.001","Sensor Correlation and Fusion","OPERATE","Fusion confidence monitor","low","Confidence-threshold evaluator","software","yes","IF-121","fusion_confidence_source","fusion_recovery_sink","5","10","pass","pending","T4 expansion seed"
