entry_id,entry_type,title,description,effects_or_consequence,source_ids,baseline_status
FM-001,failure_mode,Loss of thrust command authority,"Commanded thrust not achieved due to control or actuation failure","Trajectory/performance margins can be violated",SRC-FAA-AC-1309|SRC-MIL-1629A,seeded
FM-002,failure_mode,Uncommanded control-surface deflection,"Unexpected effector movement from control-law or actuator fault","Degraded controllability; LOC-I risk",SRC-FAA-AC-1309|SRC-SKY-LOCI,seeded
FM-003,failure_mode,Erroneous air data input,"Incorrect speed/altitude/attitude data entering control/guidance loops","Unsafe guidance or envelope-protection response",SRC-FAA-AC-1309|SRC-NASA-ASRS,seeded
FM-004,failure_mode,Navigation sensor spoofing or jamming,"Corrupted GNSS/navigation source quality","Route/guidance divergence and separation hazards",SRC-NASA-ASRS|SRC-ICAO-ADREP,seeded
FM-005,failure_mode,Electrical bus loss,"Loss or instability in electrical distribution","Critical avionics/actuation degradation",SRC-EASA-CS25|SRC-FAA-AC-1309,seeded
FM-006,failure_mode,Hydraulic pressure degradation,"Hydraulic supply below required pressure","Reduced maneuver authority",SRC-EASA-CS25|SRC-MIL-1629A,seeded
FM-007,failure_mode,Cabin pressure-control failure,"Pressurization control unable to maintain profile","Crew/passenger physiological risk",SRC-EASA-CS25|SRC-NASA-ASRS,seeded
FM-008,failure_mode,Datalink message corruption or replay,"Invalid or stale messages accepted","External/internal intent mismatch",SRC-FAA-CAST|SRC-ICAO-ADREP,seeded
FM-009,failure_mode,Mission-sensor calibration drift,"Sensor calibration baseline not maintained","Fusion and mission-tasking quality degradation",SRC-NASA-ASRS|SRC-MIL-1629A,seeded
FM-010,failure_mode,Domain isolation control failure,"Unauthorized cross-domain data movement","Security and safety boundary compromise",SRC-FAA-AC-1309|SRC-EASA-CS25,seeded
HZ-001,hazard,Loss of Control In-Flight,"Aircraft departs controllable state in flight","Potential catastrophic outcome",SRC-SKY-LOCI|SRC-FAA-CAST,seeded
HZ-002,hazard,Controlled Flight Into Terrain,"Controlled aircraft impacts terrain","Fatal accident risk",SRC-SKY-CFIT|SRC-ICAO-ADREP,seeded
HZ-003,hazard,Runway Excursion,"Aircraft departs runway surface","Aircraft damage and injury risk",SRC-SKY-RE|SRC-FAA-CAST,seeded
HZ-004,hazard,Midair collision/loss of separation,"Insufficient separation between aircraft","Collision or near-collision",SRC-ICAO-ADREP|SRC-NASA-ASRS,seeded
HZ-005,hazard,Fire or smoke event,"Onboard fire/smoke affecting crew operations","Loss of critical capability and emergency diversion",SRC-EASA-CS25|SRC-NTSB-CAROL,seeded
HZ-006,hazard,Fuel starvation or mismanagement,"Fuel not available to engines when required","Flameout and forced diversion/landing",SRC-NTSB-CAROL|SRC-NASA-ASRS,seeded
HZ-007,hazard,Icing-induced performance degradation,"Ice accumulation degrades lift/drag and sensors","Handling/performance deterioration",SRC-FAA-CAST|SRC-NASA-ASRS,seeded
HZ-008,hazard,Depressurization event,"Cabin pressure loss event","Emergency descent and physiological risk",SRC-EASA-CS25|SRC-NTSB-CAROL,seeded
HZ-009,hazard,Communication breakdown,"ATC/operations communication loss or corruption","Intent desynchronization and elevated operational risk",SRC-ICAO-ADREP|SRC-FAA-CAST,seeded
HZ-010,hazard,Hazardous mission-flight interaction,"Mission priorities conflict with safe-flight constraints","Unsafe trajectory or authority conflict",SRC-FAA-AC-1309|SRC-MIL-1629A,seeded
FM-011,failure_mode,Brake or anti-skid control degradation,"Brake command quality or anti-skid behavior is degraded","Runway overrun or excursion risk",SRC-FAA-RWYSAFE|SRC-EASA-CS25,seeded
FM-012,failure_mode,Windshear detection or alerting failure,"Windshear cues are delayed, absent, or incorrect","Unstable energy state during critical flight phases",SRC-SKY-WINDSHEAR|SRC-FAA-CAST,seeded
FM-013,failure_mode,Traffic surveillance track corruption or latency,"Traffic tracks are stale, delayed, or inconsistent","Reduced separation assurance and delayed conflict response",SRC-ICAO-ADREP|SRC-FAA-CAST,seeded
HZ-011,hazard,Runway incursion,"Conflicting occupancy of runway by aircraft, vehicle, or person","Collision risk or high-energy avoidance maneuver",SRC-SKY-RWYINC|SRC-FAA-RWYSAFE,seeded
HZ-012,hazard,Windshear encounter,"Abrupt wind vector change during departure or approach","Flight-path instability and elevated recovery workload",SRC-SKY-WINDSHEAR|SRC-FAA-CAST,seeded
HZ-013,hazard,Wildlife strike,"Wildlife impact to aircraft structure or propulsion","Damage, thrust degradation, and potential emergency diversion",SRC-FAA-WILDLIFE|SRC-SKY-BIRD,seeded
FM-014,failure_mode,Loss of ability to change active radio frequency,"Crew cannot retune to assigned ATC or advisory channel","Handoff failure, delayed clearances, and increased traffic-conflict risk",SRC-FAA-AIM-C4S2|SRC-ICAO-ADREP,seeded
FM-015,failure_mode,Loss of ability to change radio mode,"Required communication mode selection is unavailable or ineffective","Reduced communication continuity across flight phases and facilities",SRC-FAA-AIM-C4S2|SRC-NASA-ASRS,seeded
FM-016,failure_mode,Loss of ability to set transponder code,"Assigned squawk cannot be entered or updated","Surveillance identity ambiguity and degraded ATC conflict management",SRC-FAA-AIM-C4S1|SRC-ICAO-ADREP,seeded
FM-017,failure_mode,Loss of ability to control altitude reporting or transponder state,"Required transponder or ADS-B state cannot be selected","Degraded surveillance quality and reduced safety-alert effectiveness",SRC-FAA-AIM-C4S1|SRC-FAA-CAST,seeded
FM-018,failure_mode,Stuck microphone continuous transmission,"One transmitter blocks a shared channel","Frequency blockage, missed clearances, and emergency-call masking",SRC-FAA-AIM-C4S2|SRC-NASA-ASRS,seeded
FM-019,failure_mode,Incorrect radio frequency selection or cross-tuned operation,"Crew transmits or monitors wrong channel","Traffic desynchronization and missed control instructions",SRC-FAA-AIM-C4S2|SRC-ICAO-ADREP,seeded
FM-020,failure_mode,Ground HF transmission exposure control failure,"Personnel access is not controlled near active HF antenna during transmission","RF contact burns and personnel injury risk",SRC-FCC-RFSAFE|SRC-OSHA-RFMW,seeded
HZ-014,hazard,ATC handoff breakdown due communication-control failure,"Inability to establish contact with next controlling facility","Delayed conflict resolution and reduced separation assurance",SRC-FAA-AIM-C4S2|SRC-ICAO-ADREP,seeded
HZ-015,hazard,Surveillance identity ambiguity from transponder-code management failure,"Incorrect or missing code assignment in shared airspace","Tracking confusion and reduced separation assurance",SRC-FAA-AIM-C4S1|SRC-ICAO-ADREP,seeded
HZ-016,hazard,False emergency or distress surveillance state,"Inadvertent emergency-code behavior triggers alerts","Unnecessary emergency response and elevated controller workload",SRC-FAA-AIM-C4S1|SRC-FAA-CAST,seeded
HZ-017,hazard,Frequency blockage from stuck transmission,"Communication channel unavailable for routine or urgent traffic","Missed instructions and delayed hazard response",SRC-FAA-AIM-C4S2|SRC-NASA-ASRS,seeded
HZ-018,hazard,Ground personnel RF burn hazard near transmitting antenna,"Human exposure to active RF field near aircraft antenna during transmission","Localized burn or injury and ground-operation interruption",SRC-FCC-RFSAFE|SRC-OSHA-RFMW,seeded
FM-021,failure_mode,Flight-director or autopilot mode-state inconsistency,"Displayed mode state differs from active control behavior","Incorrect crew response and unstable path control",SRC-FAA-AC-1309|SRC-NASA-ASRS,seeded
FM-022,failure_mode,Manual override path unavailable during automation anomaly,"Crew cannot promptly disengage or supersede faulty automation","Delayed recovery and elevated LOC-I risk",SRC-FAA-AC-1309|SRC-EASA-CS25,seeded
FM-023,failure_mode,Route or procedure database integrity corruption,"Route constraints or leg definitions are invalid or stale","Unsafe route execution or controlled-airspace deviation",SRC-FAA-CAST|SRC-ICAO-ADREP,seeded
FM-024,failure_mode,Terrain awareness or alerting functional degradation,"Terrain conflict cues are absent, delayed, or incorrect","Reduced terrain-separation margin and CFIT exposure",SRC-SKY-CFIT|SRC-NTSB-CAROL,seeded
FM-025,failure_mode,Fuel quantity computation or transfer logic failure,"Fuel state estimate diverges from actual usable fuel","Late diversion decisions and thrust-loss exposure",SRC-NTSB-CAROL|SRC-NASA-ASRS,seeded
FM-026,failure_mode,Brake energy or temperature monitoring failure,"High-energy braking condition is not correctly detected","Brake damage progression and stopping-performance shortfall",SRC-FAA-RWYSAFE|SRC-EASA-CS25,seeded
