gap_row_id,reference_arch_layer,reference_element_id,reference_element_name,system_domain,subsystem_id,decomposition_id,expected_function_clusters,present_fm_scope,present_hz_scope,present_fm_count,present_hz_count,coverage_assessment,noted_gap_type,gap_hypothesis,verification_artifact,owner,status
GAP-001,L0,L0-AVIATE,Flight Path and Control,Aviate,SS-01,DEC-002,mode management|guidance coupling|override safety,FM-031..FM-036,HZ-027..HZ-029,6,3,adequate,none,none,traceability_matrix_row,systems_safety,ready
GAP-002,L0,L0-NAVIGATE,Navigation and Procedure Integrity,Navigate,SS-02,DEC-002,leg sequencing|constraint compliance|integrity alerts,FM-037..FM-042,HZ-030..HZ-032,6,3,adequate,none,none,traceability_matrix_row,systems_safety,ready
GAP-003,L0,L0-COMMUNICATE,Communication and Surveillance,Communicate,SS-03,DEC-002,frequency mode code state|clearance coherence|surveillance truth,FM-043..FM-048,HZ-033..HZ-035,6,3,adequate,none,none,traceability_matrix_row,systems_safety,ready
GAP-004,L1,L1-HYD-BRAKE,Hydraulic and Braking,Operate,SS-06,DEC-003,pressure isolation|anti-skid|stop-energy management,FM-049..FM-058,HZ-036..HZ-041,10,6,adequate,none,none,traceability_matrix_row,systems_safety,ready
GAP-005,L1,L1-WX-ICE,Weather and Ice Protection,Operate,SS-08,DEC-003,anti-ice control|weather sensing|escape logic,FM-059..FM-068,HZ-042..HZ-046,10,5,adequate,none,none,traceability_matrix_row,systems_safety,ready
GAP-006,L1,L1-MISSION-AUTH,Mission Authority and Arbitration,Cross-domain,SS-09,DEC-003,queue arbitration|geofence enforcement|safe-state fallback,FM-069..FM-078,HZ-047..HZ-052,10,6,adequate,none,none,traceability_matrix_row,systems_safety,ready
GAP-007,L1,L1-PROP-FUEL,Propulsion and Fuel,Operate,SS-04,DEC-004,thrust control|fuel feed|relight logic,FM-079..FM-086,HZ-053..HZ-056,8,4,adequate,none,none,traceability_matrix_row,systems_safety,ready
GAP-008,L1,L1-POWER,Electrical Power and Distribution,Operate,SS-05,DEC-004,bus transfer|load shed|power quality,FM-087..FM-094,HZ-057..HZ-060,8,4,adequate,none,none,traceability_matrix_row,systems_safety,ready
GAP-009,L1,L1-ENV,Environmental and Pressurization,Operate,SS-07,DEC-004,pressure control|smoke extraction|oxygen readiness,FM-095..FM-102,HZ-061..HZ-064,8,4,adequate,none,none,traceability_matrix_row,systems_safety,ready
GAP-010,L1,L1-GROUND,Ground Operations and Proximity,Cross-domain,SS-10,DEC-004,movement interlocks|apron sensing|crew coordination,FM-103..FM-110,HZ-065..HZ-068,8,4,adequate,none,none,traceability_matrix_row,systems_safety,ready
GAP-011,L2,L2-COUPLING,Integrated Coupling and Assurance,Cross-domain,SS-11,DEC-005,cross-system timing|alert saturation|safe-state convergence,FM-111..FM-130,HZ-069..HZ-080,20,12,adequate,none,none,traceability_matrix_row,systems_safety,ready
GAP-012,L2,L2-HMI,Flight Deck HMI and Alerting,Operate,SS-12,DEC-006,alert salience|display integrity|checklist continuity,FM-131..FM-135,HZ-081..HZ-083,5,3,adequate,none,none,traceability_matrix_row,systems_safety,ready
GAP-013,L2,L2-DATA-NET,Data Networking and Cyber Resilience,Cross-domain,SS-13,DEC-007,deterministic timing|trust state|translation integrity,FM-136..FM-140,HZ-084..HZ-086,5,3,adequate,none,none,traceability_matrix_row,systems_safety,ready
GAP-014,L2,L2-MAINT,Maintenance and Prognostics,Operate,SS-14,DEC-008,diagnostic interval|RUL fidelity|defect closeout integrity,FM-141..FM-145,HZ-087..HZ-089,5,3,adequate,none,none,traceability_matrix_row,systems_safety,ready
GAP-015,L2,L2-EXT-CNS,External CNS and ATM Integration,Navigate,SS-15,DEC-009,external message compatibility|capability declaration|advisory ingestion,FM-146..FM-150,HZ-090..HZ-092,5,3,adequate,none,none,traceability_matrix_row,systems_safety,ready
GAP-016,L2,L2-AUTONOMY,Autonomy Decision Support and Policy,Cross-domain,SS-16,DEC-010,confidence calibration|policy convergence|model provenance,FM-151..FM-155,HZ-093..HZ-095,5,3,adequate,none,none,traceability_matrix_row,systems_safety,ready
GAP-017,L2,L2-HUMAN,Human Factors and Procedural Controls,Cross-domain,SS-17,DEC-011,procedure disambiguation|confirmation barriers|localization controls,FM-156..FM-160,HZ-096..HZ-098,5,3,adequate,none,none,traceability_matrix_row,systems_safety,ready
GAP-018,L2,L2-ASSURANCE,Assurance Configuration and Release,Cross-domain,SS-18,DEC-012,baseline integrity|evidence continuity|mitigation compatibility,FM-161..FM-165,HZ-099..HZ-101,5,3,adequate,none,none,traceability_matrix_row,systems_safety,ready
