interface_id,producer,producer_function_id,consumer,consumer_function_id,data_object,rate_trigger,assurance_level,gate_evidence_fields,evidence_artifact_refs,review_checkpoint_refs,gate_crosswalk_id,source_doc
IF-001,Mission Manager,OPS.MSN.001,Route Manager,NAV.RTE.001,mission_constraint_package,"mission-plan load; retask event; priority change",high,"interface_owner;data_schema_ref;trust_boundary;integrity_control;authenticity_control;rate_limit_or_trigger_rule;verification_evidence_ref;gate_readiness","EA-ICD;EA-SCHEMA;EA-THREAT-MODEL;EA-VV-TEST;EA-CONOPS","CP-G0-SCOPE;CP-G1-OWNER;CP-G2-BOUNDARY;CP-G4-VERIFICATION;CP-G5-THREAT;CP-G9-READINESS",GR-MSN-H,02_cross_cutting/flight_control_navigation_mission_function_stack.md
IF-002,Route Manager,NAV.RTE.001,Waypoint Manager,NAV.RTE.001,waypoint_resolution_request,"route build; route amendment; alternate activation",high,"interface_owner;data_schema_ref;trust_boundary;integrity_control;authenticity_control;rate_limit_or_trigger_rule;verification_evidence_ref;gate_readiness","EA-ICD;EA-SCHEMA;EA-ROUTE-RULES;EA-VV-TEST;EA-CHANGE-LOG","CP-G0-SCOPE;CP-G1-OWNER;CP-G3-INTEGRITY;CP-G4-VERIFICATION;CP-G9-READINESS",GR-NAV-H,02_cross_cutting/flight_control_navigation_mission_function_stack.md
IF-003,Waypoint Manager,NAV.RTE.001,Route Manager,NAV.RTE.001,validated_waypoint_set,"on waypoint validation completion; on waypoint change",high,"interface_owner;data_schema_ref;trust_boundary;integrity_control;authenticity_control;rate_limit_or_trigger_rule;verification_evidence_ref;gate_readiness","EA-ICD;EA-SCHEMA;EA-ROUTE-RULES;EA-VV-TEST;EA-MONITORING","CP-G1-OWNER;CP-G3-INTEGRITY;CP-G4-VERIFICATION;CP-G9-READINESS",GR-NAV-H,02_cross_cutting/flight_control_navigation_mission_function_stack.md
IF-004,Route Manager,NAV.RTE.001,Flight Management System,NAV.GUID.001,active_route_graph,"active leg change; reroute acceptance; alternate selection",high,"interface_owner;data_schema_ref;trust_boundary;integrity_control;authenticity_control;rate_limit_or_trigger_rule;verification_evidence_ref;gate_readiness","EA-ICD;EA-SCHEMA;EA-VV-TEST;EA-CONOPS;EA-ROUTE-RULES","CP-G0-SCOPE;CP-G3-INTEGRITY;CP-G4-VERIFICATION;CP-G9-READINESS",GR-NAV-H,02_cross_cutting/flight_control_navigation_mission_function_stack.md
IF-005,Flight Management System,NAV.GUID.001,Flight Director,AVI.GUID.001,guidance_target_package,"guidance recompute; mode arm/capture event",very_high,"interface_owner;data_schema_ref;trust_boundary;integrity_control;authenticity_control;rate_limit_or_trigger_rule;verification_evidence_ref;gate_readiness","EA-ICD;EA-SCHEMA;EA-THREAT-MODEL;EA-SAFETY-CASE;EA-VV-TEST;EA-SIM-RESULTS","CP-G0-SCOPE;CP-G1-OWNER;CP-G2-BOUNDARY;CP-G3-INTEGRITY;CP-G4-VERIFICATION;CP-G5-THREAT;CP-G7-SAFETY;CP-G9-READINESS",GR-CTRL-VH,02_cross_cutting/flight_control_navigation_mission_function_stack.md
IF-006,Flight Management System,NAV.GUID.001,Flight Control System,AVI.STAB.001,autopilot_coupled_target_set,"automation engaged; active target update",very_high,"interface_owner;data_schema_ref;trust_boundary;integrity_control;authenticity_control;rate_limit_or_trigger_rule;verification_evidence_ref;gate_readiness","EA-ICD;EA-SCHEMA;EA-THREAT-MODEL;EA-SAFETY-CASE;EA-VV-TEST;EA-SIM-RESULTS","CP-G0-SCOPE;CP-G1-OWNER;CP-G2-BOUNDARY;CP-G3-INTEGRITY;CP-G4-VERIFICATION;CP-G5-THREAT;CP-G7-SAFETY;CP-G9-READINESS",GR-CTRL-VH,02_cross_cutting/flight_control_navigation_mission_function_stack.md
IF-007,Flight Control System,AVI.STAB.001,Flight Director,AVI.GUID.001,control_mode_and_response_status,"control mode change; fault/reversion event; periodic status",very_high,"interface_owner;data_schema_ref;trust_boundary;integrity_control;authenticity_control;rate_limit_or_trigger_rule;verification_evidence_ref;gate_readiness","EA-ICD;EA-SCHEMA;EA-SAFETY-CASE;EA-VV-TEST;EA-MONITORING","CP-G1-OWNER;CP-G3-INTEGRITY;CP-G4-VERIFICATION;CP-G7-SAFETY;CP-G9-READINESS",GR-CTRL-VH,02_cross_cutting/flight_control_navigation_mission_function_stack.md
IF-008,Flight Control System,AVI.STAB.001,Flight Management System,NAV.GUID.001,trajectory_conformance_delta,"periodic update; threshold exceedance",high,"interface_owner;data_schema_ref;trust_boundary;integrity_control;authenticity_control;rate_limit_or_trigger_rule;verification_evidence_ref;gate_readiness","EA-ICD;EA-SCHEMA;EA-MONITORING;EA-VV-TEST;EA-THREAT-MODEL","CP-G1-OWNER;CP-G3-INTEGRITY;CP-G4-VERIFICATION;CP-G5-THREAT;CP-G9-READINESS",GR-NAV-H,02_cross_cutting/flight_control_navigation_mission_function_stack.md
IF-009,Air-Ground Operational Communications,COM.AGND.001,Flight Management System,NAV.GUID.001,external_constraint_update,"ATC clearance; dispatch update; airspace restriction change",high,"interface_owner;data_schema_ref;trust_boundary;integrity_control;authenticity_control;rate_limit_or_trigger_rule;verification_evidence_ref;gate_readiness","EA-ICD;EA-SCHEMA;EA-TRUST-CONFIG;EA-VV-TEST;EA-LOGGING","CP-G1-OWNER;CP-G2-BOUNDARY;CP-G3-INTEGRITY;CP-G4-VERIFICATION;CP-G9-READINESS",GR-COM-H,01_functional_decomposition/communicate/air_ground_operational_communications.md
IF-010,Data Link and Network Exchange,COM.DLNK.001,Data Integrity and Domain Isolation,AVI.INTG.001,inbound_message_integrity_status,"message receipt; validation failure; policy exception",high,"interface_owner;data_schema_ref;trust_boundary;integrity_control;authenticity_control;rate_limit_or_trigger_rule;verification_evidence_ref;gate_readiness","EA-ICD;EA-SCHEMA;EA-TRUST-CONFIG;EA-VV-TEST;EA-LOGGING","CP-G1-OWNER;CP-G2-BOUNDARY;CP-G3-INTEGRITY;CP-G4-VERIFICATION;CP-G9-READINESS",GR-INT-H,01_functional_decomposition/communicate/data_link_and_network_exchange.md
