"function_id","function_level","l0_domain","l1_code","l1_name","l2_index","l2_name","variant","source_doc"
"AVI.GUID.001","L1","AVIATE","GUID","Flight Guidance and Automation","","","Both","flight_guidance_and_automation.md"
"AVI.GUID.101","L2","AVIATE","GUID","Flight Guidance and Automation","1","Manage Guidance Modes","Both","flight_guidance_and_automation.md"
"AVI.GUID.102","L2","AVIATE","GUID","Flight Guidance and Automation","2","Track Lateral/Vertical Commands","Both","flight_guidance_and_automation.md"
"AVI.GUID.103","L2","AVIATE","GUID","Flight Guidance and Automation","3","Manage Autopilot Engagement and Disengagement","Both","flight_guidance_and_automation.md"
"AVI.GUID.104","L2","AVIATE","GUID","Flight Guidance and Automation","4","Enforce Authority Limits and Override Rules","Both","flight_guidance_and_automation.md"
"AVI.GUID.105","L2","AVIATE","GUID","Flight Guidance and Automation","5","Manage Reversion and Degraded Control Modes","Both","flight_guidance_and_automation.md"
"AVI.GUID.106","L2","AVIATE","GUID","Flight Guidance and Automation","6","Annunciate Automation State","Both","flight_guidance_and_automation.md"
"AVI.STAB.001","L1","AVIATE","STAB","Flight Stability and Maneuvering","","","Both","flight_stability_and_maneuvering.md"
"AVI.STAB.101","L2","AVIATE","STAB","Flight Stability and Maneuvering","1","Sense Aircraft State","Both","flight_stability_and_maneuvering.md"
"AVI.STAB.102","L2","AVIATE","STAB","Flight Stability and Maneuvering","2","Compute Control Laws","Both","flight_stability_and_maneuvering.md"
"AVI.STAB.103","L2","AVIATE","STAB","Flight Stability and Maneuvering","3","Command Control Surfaces and Effectors","Both","flight_stability_and_maneuvering.md"
"AVI.STAB.104","L2","AVIATE","STAB","Flight Stability and Maneuvering","4","Enforce Envelope Protection","Both","flight_stability_and_maneuvering.md"
"AVI.STAB.105","L2","AVIATE","STAB","Flight Stability and Maneuvering","5","Provide Handling-Quality Management","Both","flight_stability_and_maneuvering.md"
"AVI.HLTH.001","L1","AVIATE","HLTH","Aircraft Health and Condition Management","","","Both","aircraft_health_and_condition_management.md"
