subsystem_id,subsystem_name,domain,current_seeded_fm,current_seeded_hz,next_wave_target_fm,next_wave_target_hz,priority,source_clusters,notes
SS-01,Flight controls and guidance,Aviate,10,6,19,12,P1,SRC-FAA-AC-1309|SRC-EASA-CS25|SRC-SKY-LOCI|SRC-NASA-ASRS,"Tranche 1 executed; mode transitions, authority transfer, degraded-law behavior deepened"
SS-02,Navigation and route integrity,Navigate,9,6,19,12,P1,SRC-ICAO-ADREP|SRC-FAA-CAST|SRC-SKY-CFIT|SRC-NASA-ASRS,"Tranche 1 executed; procedure constraints, database integrity, terrain path assurance deepened"
SS-03,Communications and surveillance,Communicate,13,9,19,12,P1,SRC-FAA-AIM-C4S1|SRC-FAA-AIM-C4S2|SRC-ICAO-ADREP|SRC-FAA-CAST,"Tranche 1 executed; frequency/mode/code control and surveillance truthfulness deepened"
SS-04,Propulsion and fuel systems,Operate,10,6,10,6,P2,SRC-EASA-CS25|SRC-NTSB-CAROL|SRC-NASA-ASRS,"Tranche 3 executed; thrust-control continuity and fuel-state logic significantly expanded"
SS-05,Electrical power and distribution,Operate,9,5,9,5,P2,SRC-EASA-CS25|SRC-FAA-AC-1309|SRC-NASA-ASRS,"Tranche 3 executed; transfer, shedding, and power-quality failure families expanded"
SS-06,Hydraulic and braking systems,Operate,12,8,8,6,P1,SRC-EASA-CS25|SRC-FAA-RWYSAFE|SRC-SKY-RE,"Tranche 2 executed; braking, steering, and hydraulic isolation failure families expanded"
SS-07,Environmental and pressurization,Operate,10,7,5,3,P2,SRC-EASA-CS25|SRC-NTSB-CAROL,"Tranche 3 executed; pressurization, smoke, oxygen, and cabin-air hazards expanded"
SS-08,Ice protection and weather response,Operate,12,7,6,3,P1,SRC-FAA-CAST|SRC-SKY-LOCI|SRC-SKY-WINDSHEAR,"Tranche 2 executed; anti-ice, weather sensing, and escape guidance expanded"
SS-09,Mission systems and authority arbitration,Cross-domain,12,8,6,4,P1,SRC-MIL-1629A|SRC-FAA-AC-1309|SRC-ICAO-ADREP,"Tranche 2 executed; authority logic, geofence, and safe-state fallback expanded"
SS-10,Ground operations and human proximity,Cross-domain,9,6,3,2,P2,SRC-FAA-RWYSAFE|SRC-FAA-WILDLIFE|SRC-FCC-RFSAFE|SRC-OSHA-RFMW,"Tranche 3 executed; apron movement, interlocks, and personnel safety failures expanded"
SS-11,Cross-subsystem coupling and assurance,Cross-domain,20,12,10,8,P1,SRC-FAA-AC-1309|SRC-MIL-1629A|SRC-ICAO-ADREP|SRC-NASA-ASRS,"Tranche 4 executed; multi-system coupling hazards and latent-assurance failures expanded"
SS-12,Flight deck HMI and alerting,Operate,5,3,8,5,P2,SRC-FAA-AC-1309|SRC-NASA-ASRS|SRC-SKY-CFIT,"Tranche 5 executed; salience, display integrity, and checklist continuity expanded"
SS-13,Data networking and cyber resilience,Cross-domain,5,3,8,5,P1,SRC-FAA-AC-1309|SRC-MIL-1629A|SRC-ICAO-ADREP,"Tranche 6 executed; deterministic timing, trust state, and translation integrity expanded"
SS-14,Maintenance diagnostics and prognostics,Operate,5,3,8,5,P2,SRC-EASA-CS25|SRC-NTSB-CAROL|SRC-NASA-ASRS,"Tranche 7 executed; latent fault discovery and maintenance-record integrity expanded"
SS-15,External CNS and ATM integration,Navigate,5,3,8,5,P1,SRC-ICAO-ADREP|SRC-FAA-AIM-C4S1|SRC-FAA-CAST,"Tranche 8 executed; external coordination, capability declaration, and advisory ingestion expanded"
SS-16,Autonomy decision support and policy control,Cross-domain,5,3,8,5,P1,SRC-MIL-1629A|SRC-FAA-AC-1309|SRC-NASA-ASRS,"Tranche 9 executed; confidence governance and policy conflict handling expanded"
SS-17,Human factors and procedural controls,Cross-domain,5,3,8,5,P2,SRC-NASA-ASRS|SRC-FAA-CAST|SRC-NTSB-CAROL,"Tranche 10 executed; procedure branching, confirmation barriers, and localization risks expanded"
SS-18,Assurance config and release governance,Cross-domain,5,3,8,5,P1,SRC-FAA-AC-1309|SRC-EASA-CS25|SRC-MIL-1629A,"Tranche 11 executed; release integrity, evidence continuity, and mitigation-regression risks expanded"
