"exception_id","interface_id","producer_function_id","consumer_function_id","producer_domain","consumer_domain","level_pair","exception_class","trust_boundary_classification","rationale","gate_targets","gate_evidence_refs","status","disposition","risk_acceptance_id","mitigation_due_date","approved_by","approval_date","threat_model_row_id","vv_test_case_ids","icd_section_ref","schema_version"
"EXC-001","IF-001","OPS.MSN.001","NAV.RTE.001","OPERATE","NAVIGATE","L1->L1","system_context_bridge","TB-CONTROL-INTERDOMAIN","Cross-domain L1 coordination path required for mission/system context handoff across top-level domains.","G5-THREAT;G4-VERIFICATION","EA-ICD;EA-SCHEMA;EA-TRUST-BOUNDARY-ANALYSIS;EA-VV-TEST;EA-THREAT-MODEL-TRACE","open","proposed","","","","","TM-BRIDGE-001","VV-IF-001-A;VV-IF-001-B","ICD-001.1","v2.0"
"EXC-002","IF-005","NAV.GUID.001","AVI.GUID.001","NAVIGATE","AVIATE","L1->L1","system_context_bridge","TB-CONTROL-INTERDOMAIN","Cross-domain L1 coordination path required for mission/system context handoff across top-level domains.","G5-THREAT;G4-VERIFICATION","EA-ICD;EA-SCHEMA;EA-TRUST-BOUNDARY-ANALYSIS;EA-VV-TEST;EA-THREAT-MODEL-TRACE","open","proposed","","","","","TM-BRIDGE-005","VV-IF-005-A;VV-IF-005-B","ICD-005.1","v2.0"
"EXC-003","IF-006","NAV.GUID.001","AVI.STAB.001","NAVIGATE","AVIATE","L1->L1","system_context_bridge","TB-CONTROL-INTERDOMAIN","Cross-domain L1 coordination path required for mission/system context handoff across top-level domains.","G5-THREAT;G4-VERIFICATION","EA-ICD;EA-SCHEMA;EA-TRUST-BOUNDARY-ANALYSIS;EA-VV-TEST;EA-THREAT-MODEL-TRACE","open","proposed","","","","","TM-BRIDGE-006","VV-IF-006-A;VV-IF-006-B","ICD-006.1","v2.0"
"EXC-004","IF-008","AVI.STAB.001","NAV.GUID.001","AVIATE","NAVIGATE","L1->L1","system_context_bridge","TB-CONTROL-INTERDOMAIN","Cross-domain L1 coordination path required for mission/system context handoff across top-level domains.","G5-THREAT;G4-VERIFICATION","EA-ICD;EA-SCHEMA;EA-TRUST-BOUNDARY-ANALYSIS;EA-VV-TEST;EA-THREAT-MODEL-TRACE","open","proposed","","","","","TM-BRIDGE-008","VV-IF-008-A;VV-IF-008-B","ICD-008.1","v2.0"
"EXC-005","IF-009","COM.AGND.001","NAV.GUID.001","COMMUNICATE","NAVIGATE","L1->L1","system_context_bridge","TB-CONTROL-INTERDOMAIN","Cross-domain L1 coordination path required for mission/system context handoff across top-level domains.","G5-THREAT;G4-VERIFICATION","EA-ICD;EA-SCHEMA;EA-TRUST-BOUNDARY-ANALYSIS;EA-VV-TEST;EA-THREAT-MODEL-TRACE","open","proposed","","","","","TM-BRIDGE-009","VV-IF-009-A;VV-IF-009-B","ICD-009.1","v2.0"
"EXC-006","IF-010","COM.DLNK.001","AVI.INTG.001","COMMUNICATE","AVIATE","L1->L1","system_context_bridge","TB-CONTROL-INTERDOMAIN","Cross-domain L1 coordination path required for mission/system context handoff across top-level domains.","G5-THREAT;G4-VERIFICATION","EA-ICD;EA-SCHEMA;EA-TRUST-BOUNDARY-ANALYSIS;EA-VV-TEST;EA-THREAT-MODEL-TRACE","open","proposed","","","","","TM-BRIDGE-010","VV-IF-010-A;VV-IF-010-B","ICD-010.1","v2.0"
"EXC-007","IF-011","AVI.INTG.001","NAV.GUID.001","AVIATE","NAVIGATE","L1->L1","system_context_bridge","TB-CONTROL-INTERDOMAIN","Cross-domain L1 coordination path required for mission/system context handoff across top-level domains.","G5-THREAT;G4-VERIFICATION","EA-ICD;EA-SCHEMA;EA-TRUST-BOUNDARY-ANALYSIS;EA-VV-TEST;EA-THREAT-MODEL-TRACE","open","proposed","","","","","TM-BRIDGE-011","VV-IF-011-A;VV-IF-011-B","ICD-011.1","v2.0"
"EXC-008","IF-012","OPS.PAX.001","AVI.INTG.001","OPERATE","AVIATE","L1->L1","system_context_bridge","TB-CONTROL-INTERDOMAIN","Cross-domain L1 coordination path required for mission/system context handoff across top-level domains.","G5-THREAT;G4-VERIFICATION","EA-ICD;EA-SCHEMA;EA-TRUST-BOUNDARY-ANALYSIS;EA-VV-TEST;EA-THREAT-MODEL-TRACE","open","proposed","","","","","TM-BRIDGE-012","VV-IF-012-A;VV-IF-012-B","ICD-012.1","v2.0"
"EXC-009","IF-016","NAV.GUID.001","AVI.GUID.001","NAVIGATE","AVIATE","L1->L1","system_context_bridge","TB-CONTROL-INTERDOMAIN","Cross-domain L1 coordination path required for mission/system context handoff across top-level domains.","G5-THREAT;G4-VERIFICATION","EA-ICD;EA-SCHEMA;EA-TRUST-BOUNDARY-ANALYSIS;EA-VV-TEST;EA-THREAT-MODEL-TRACE","open","proposed","","","","","TM-BRIDGE-016","VV-IF-016-A;VV-IF-016-B","ICD-016.1","v2.0"
"EXC-010","IF-022","AVI.HLTH.001","NAV.GUID.001","AVIATE","NAVIGATE","L1->L1","system_context_bridge","TB-CONTROL-INTERDOMAIN","Cross-domain L1 coordination path required for mission/system context handoff across top-level domains.","G5-THREAT;G4-VERIFICATION","EA-ICD;EA-SCHEMA;EA-TRUST-BOUNDARY-ANALYSIS;EA-VV-TEST;EA-THREAT-MODEL-TRACE","open","proposed","","","","","TM-BRIDGE-022","VV-IF-022-A;VV-IF-022-B","ICD-022.1","v2.0"
